"Task ID","Task Name","Start Date","Due Date","Date Created","ID RADAR (drop down)","Ring (drop down)","Operations Priority (drop down)","Action plan required (checkbox)","Budget (currency)"
"2jp7hhv","Databricks","","","Tuesday, February 15th 2022, 1:03:54 pm +01:00",2022.1,"Adopt","High","true",""
"2jp7ju3","Snowflake","","","Tuesday, February 15th 2022, 1:05:35 pm +01:00",2022.1,"Adopt","High","true",""
"2jp7j9h","MLFlow","","","Tuesday, February 15th 2022, 1:04:56 pm +01:00",2022.1,"Trial","Urgent","",""
"2jp7hec","Confluent","","","Tuesday, February 15th 2022, 1:03:47 pm +01:00",2022.1,"Trial","High","true",""
"2jp7h3p","Anjana Data","","","Tuesday, February 15th 2022, 1:03:23 pm +01:00",2022.1,"Trial","Low","",""
"2jp7hdf","Collibra","","","Tuesday, February 15th 2022, 1:03:46 pm +01:00",2022.1,"Assess","Normal","",""
"2bbdhnd","Pure Storage FlashBlade","","","Thursday, May 19th 2022, 12:42:28 pm +02:00",2022.7,"Assess","High","",""
"33ubph4","Palantir - Foundry","","","Monday, July 18th 2022, 10:35:49 am +02:00",2022.7,"Assess","High","",""
"2jp7hmd","Domo","","","Tuesday, February 15th 2022, 1:04:01 pm +01:00",2023.1,"","","",""
"2jp7jxw","Tableau","","","Tuesday, February 15th 2022, 1:05:45 pm +01:00",2022.1,"Trial","Urgent","",""
"862j5wdxe","Evaluación herramientas Process Mining","","","Wednesday, February 1st 2023, 10:11:59 am +01:00",2023.1,"Trial","","",""
"865bppt85","Dataiku","","","Thursday, February 9th 2023, 1:48:07 pm +01:00",2023.1,"Assess","","",""
"21w8rwu","Azure Purview","","","Wednesday, March 2nd 2022, 4:54:07 pm +01:00",2022.1,"Trial","Normal","",""
"2jp7j62","Looker","","","Tuesday, February 15th 2022, 1:04:49 pm +01:00",2023.1,"Adopt","","",""
"3hrpe23","Tabnine","","","Tuesday, October 4th 2022, 12:08:07 pm +02:00",2023.1,"Assess","","",""
"1zqfj7z","DocuWare","Saturday, January 1st 2022","Thursday, September 1st 2022","Thursday, February 24th 2022, 11:49:57 am +01:00",2022.1,"Assess","Urgent","",1000
"2jp7jb1","MSG Life","Saturday, January 1st 2022","Thursday, September 1st 2022","Tuesday, February 15th 2022, 1:05:00 pm +01:00",2022.1,"Assess","Normal","",3000
"2jp7hfc","Contact Center AI Google","Saturday, January 1st 2022","Thursday, September 1st 2022","Tuesday, February 15th 2022, 1:03:49 pm +01:00",2022.1,"Trial","Urgent","",20000
"3k0pm6a","Digital Humans (Avatars)","","","Friday, October 7th 2022, 11:25:42 am +02:00",2022.7,"Assess","Urgent","",7000
"23v5jc8","Opentext Exstream","","","Wednesday, March 16th 2022, 3:32:24 pm +01:00",2022.7,"Trial","Normal","",""
"2jp7jy1","Taiger","Saturday, January 1st 2022","Sunday, July 31st 2022","Tuesday, February 15th 2022, 1:05:46 pm +01:00",2022.1,"Adopt","High","",8000
"2jp7jdm","Opentext Core Share","","","Tuesday, February 15th 2022, 1:05:08 pm +01:00",2022.7,"Adopt","Low","",""
"2jp7huy","Google Cloud IA","","","Tuesday, February 15th 2022, 1:04:16 pm +01:00",2022.1,"Adopt","Urgent","true",""
"3xxwvnt","OpenAI ChatGPT","","","Wednesday, December 7th 2022, 2:00:34 pm +01:00",2023.1,"Assess","High","",""
"865bg9dzj","CLU Azure","","","Thursday, January 12th 2023, 1:44:02 pm +01:00",2023.1,"Adopt","High","",""
"23v3p07","Quadient","","","Wednesday, March 16th 2022, 12:26:58 pm +01:00",2023.1,"Adopt","Normal","",""
"865bku05j","SER - DOXIS","","","Friday, January 27th 2023, 12:03:49 pm +01:00",2023.1,"Adopt","Normal","",""
"240uymt","Opentext Core Content","","","Thursday, March 17th 2022, 1:08:09 pm +01:00",2023.1,"Trial","Low","",""
"865bganj9","Plazbot","","","Thursday, January 12th 2023, 4:18:44 pm +01:00",2023.1,"Assess","Low","",""
"21gtzv2","GitHub Copilot","","","Monday, February 28th 2022, 4:43:53 pm +01:00",2023.1,"Trial","Normal","",""
"3gpf3yp","Timeline","","","Monday, September 26th 2022, 4:41:18 pm +02:00",2023.1,"Assess","","",""
"390fhph","Minit","","","Tuesday, August 9th 2022, 12:51:55 pm +02:00",2023.1,"Assess","","",""
"2jp7jgn","Pega","Friday, April 1st 2022","Sunday, May 1st 2022","Tuesday, February 15th 2022, 1:05:14 pm +01:00",2022.1,"Assess","Low","",0
"2jp7k2h","Vulcain ","Tuesday, February 1st 2022","Friday, June 30th 2023","Tuesday, February 15th 2022, 1:05:58 pm +01:00",2022.7,"Assess","Normal","",1500
"2jp7jrj","ServiceMesh","Saturday, January 1st 2022","Friday, June 30th 2023","Tuesday, February 15th 2022, 1:05:30 pm +01:00",2022.7,"Trial","High","",10000
"2jp7h68","AsyncAPI ","Saturday, January 1st 2022","Friday, June 30th 2023","Tuesday, February 15th 2022, 1:03:28 pm +01:00",2022.7,"Trial","Urgent","",1500
"3dn6qht","SPIFEE","","","Tuesday, September 6th 2022, 12:17:08 pm +02:00",2022.7,"Assess","Normal","",""
"3h1ud2x","Appian RPA","","","Wednesday, September 28th 2022, 1:24:17 pm +02:00",2022.7,"Trial","Normal","",""
"3h1ud43","Appian Portals","","","Wednesday, September 28th 2022, 1:24:29 pm +02:00",2022.7,"Trial","High","",""
"3h1ud4m","Appian IDP","","","Wednesday, September 28th 2022, 1:24:42 pm +02:00",2022.7,"Trial","Normal","",""
"2jp7j7a","Mendix","Friday, April 1st 2022","Saturday, December 31st 2022","Tuesday, February 15th 2022, 1:04:51 pm +01:00",2022.1,"Adopt","Urgent","true",""
"1zqfmba","OutSystems","","","Thursday, February 24th 2022, 11:56:48 am +01:00",2023.1,"Adopt","Normal","true",""
"865buuz4p","Appian RPA","","","Tuesday, February 28th 2023, 10:08:44 am +01:00",2023.1,"Adopt","Normal","",""
"2jp7jcd","Okta","","","Tuesday, February 15th 2022, 1:05:05 pm +01:00",2022.1,"Adopt","Urgent","true",""
"21gu00z","GitHub Copilot","","","Monday, February 28th 2022, 4:44:10 pm +01:00",2022.7,"Trial","High","",""
"2jp7jt7","SIEM/SOAR","","","Tuesday, February 15th 2022, 1:05:32 pm +01:00",2022.1,"Adopt","High","true",""
"2jp7k1w","VMWare Tanzu","","","Tuesday, February 15th 2022, 1:05:56 pm +01:00",2022.1,"Adopt","Urgent","true",""
"2jp7k09","Transmit Flex ID","","","Tuesday, February 15th 2022, 1:05:52 pm +01:00",2022.1,"Adopt","Urgent","true",""
"2jp7hv2","Google Cloud Platform","","","Tuesday, February 15th 2022, 1:04:17 pm +01:00",2022.1,"Adopt","Normal","true",""
"2jp7jb7","Multicloud Management","","","Tuesday, February 15th 2022, 1:05:01 pm +01:00",2022.1,"Adopt","High","true",""
"2jp7k1q","VMware Cloud Health","","","Tuesday, February 15th 2022, 1:05:56 pm +01:00",2022.1,"Trial","High","",""
"2jp7j48","Kubernetes Multicluster","","","Tuesday, February 15th 2022, 1:04:45 pm +01:00",2022.1,"Trial","Normal","",""
"2jp7jgd","Passwordless Authentication","","","Tuesday, February 15th 2022, 1:05:14 pm +01:00",2022.1,"Trial","Normal","",""
"2jp7huh","Google Anthos","","","Tuesday, February 15th 2022, 1:04:14 pm +01:00",2022.1,"Assess","","",""
"2jp7hve","Google Identity","","","Tuesday, February 15th 2022, 1:04:18 pm +01:00",2022.1,"Assess","","",""
"2jp7h9y","Azure Security Center","","","Tuesday, February 15th 2022, 1:03:37 pm +01:00",2022.1,"Assess","","",""
"2jp7jud","Soluciones de doble factor y Risk management","","","Tuesday, February 15th 2022, 1:05:36 pm +01:00",2022.1,"Assess","","",""
"2jp7h94","Azure AD","","","Tuesday, February 15th 2022, 1:03:35 pm +01:00",2022.1,"Trial","","",""
"2jp7k1g","Vitess","","","Tuesday, February 15th 2022, 1:05:55 pm +01:00",2022.1,"Trial","","",""
"2jp7hkp","DevOps tools state-of-art analysis","","","Tuesday, February 15th 2022, 1:03:59 pm +01:00",2022.1,"Assess","Normal","",""
"2jp7j55","Lighthouse","Saturday, January 1st 2022","Friday, December 23rd 2022","Tuesday, February 15th 2022, 1:04:47 pm +01:00",2022.1,"Assess","High","",1000
"2jp7jtj","Siteimprove","Saturday, January 1st 2022","Friday, December 23rd 2022","Tuesday, February 15th 2022, 1:05:33 pm +01:00",2022.1,"Assess","Low","",1000
"2jp7jzc","Tenon CLI","Saturday, January 1st 2022","Friday, December 23rd 2022","Tuesday, February 15th 2022, 1:05:49 pm +01:00",2022.1,"Assess","Normal","",1000
"1z4f9e8","Reactor","Saturday, January 1st 2022","Friday, December 23rd 2022","Tuesday, February 22nd 2022, 9:56:27 am +01:00",2022.1,"Trial","Low","",1000
"2jp7jje","PowerApps","Saturday, January 1st 2022","Friday, December 23rd 2022","Tuesday, February 15th 2022, 1:05:17 pm +01:00",2022.1,"Trial","Normal","",1000
"240uf35","Android Jetpack Compose","Saturday, January 1st 2022","Friday, December 23rd 2022","Thursday, March 17th 2022, 12:15:30 pm +01:00",2022.1,"Adopt","High","",1000
"240ugay","Firebase ML","Saturday, January 1st 2022","Friday, December 23rd 2022","Thursday, March 17th 2022, 12:18:48 pm +01:00",2022.1,"Trial","Low","",1000
"2jp7k2p","Web Components","Saturday, January 1st 2022","Friday, December 23rd 2022","Tuesday, February 15th 2022, 1:05:59 pm +01:00",2022.1,"Trial","High","",1000
"21gu03z","GitHub Copilot","Saturday, January 1st 2022","Friday, December 23rd 2022","Monday, February 28th 2022, 4:44:18 pm +01:00",2022.7,"Trial","High","",1000
"2jp7hwu","GraphQL","Saturday, January 1st 2022","Friday, December 23rd 2022","Tuesday, February 15th 2022, 1:04:23 pm +01:00",2022.1,"Trial","Low","",1000
"2jp7jnv","Resilience4j","Saturday, January 1st 2022","Friday, December 23rd 2022","Tuesday, February 15th 2022, 1:05:23 pm +01:00",2022.1,"Trial","Low","",1000
"2jp7h80","AWS Lambda","Saturday, January 1st 2022","Friday, December 23rd 2022","Tuesday, February 15th 2022, 1:03:32 pm +01:00",2022.1,"Trial","Normal","",1000
"2jp7j7j","Micro frontends","Saturday, January 1st 2022","Friday, December 23rd 2022","Tuesday, February 15th 2022, 1:04:52 pm +01:00",2022.1,"Trial","Normal","",1000
"2jp7h06",".NET Core 6","Saturday, January 1st 2022","Friday, December 23rd 2022","Tuesday, February 15th 2022, 1:03:15 pm +01:00",2022.1,"Trial","Normal","",1000
"2jp7hvw","GRPC","Saturday, January 1st 2022","Friday, December 23rd 2022","Tuesday, February 15th 2022, 1:04:20 pm +01:00",2022.1,"Assess","Normal","",1000
"2jp7j2f","Kafka Streams","Saturday, January 1st 2022","","Tuesday, February 15th 2022, 1:04:40 pm +01:00",2022.1,"Adopt","Urgent","",3000
"865bwjn0x","GRPC","","Friday, December 22nd 2023","Monday, March 6th 2023, 6:19:59 pm +01:00",2023.1,"Trial","Normal","",""
"865by254c","Graalvm","","","Monday, March 13th 2023, 5:45:35 pm +01:00",2023.1,"Trial","Normal","",""
"865bwjpjh",".NET Core 7","","Friday, December 22nd 2023","Monday, March 6th 2023, 6:25:35 pm +01:00",2023.1,"Assess","High","",""
"865bwjq8k","Entity Framework Core 7","","Friday, December 22nd 2023","Monday, March 6th 2023, 6:28:19 pm +01:00",2023.1,"Assess","Normal","",""
"865bwjqt5","Azure OpenAI Service","","Friday, December 22nd 2023","Monday, March 6th 2023, 6:29:59 pm +01:00",2023.1,"Assess","Low","",""
"865bwwdbm","Sketch2code","","Friday, December 22nd 2023","Tuesday, March 7th 2023, 7:08:33 pm +01:00",2023.1,"Assess","Normal","",""
"865bwwe80","Atomic CSS","","Friday, December 22nd 2023","Tuesday, March 7th 2023, 7:10:50 pm +01:00",2023.1,"Assess","Low","",""
"865bwwedj","Axe utilities","","Friday, December 22nd 2023","Tuesday, March 7th 2023, 7:11:26 pm +01:00",2023.1,"Assess","High","",""
"865bwweuk","Motion UI Development","","Friday, December 22nd 2023","Tuesday, March 7th 2023, 7:13:16 pm +01:00",2023.1,"Assess","Low","",""
"865bwwexq","Figma development","","Friday, December 22nd 2023","Tuesday, March 7th 2023, 7:13:50 pm +01:00",2023.1,"Assess","Normal","",""
"865bwwf25","Sveltkit","","Friday, December 22nd 2023","Tuesday, March 7th 2023, 7:14:49 pm +01:00",2023.1,"Assess","Low","",""
"865bwwf4j","SolidStart","","Friday, December 22nd 2023","Tuesday, March 7th 2023, 7:15:37 pm +01:00",2023.1,"Assess","Normal","",""
